,link,property_id,locality_name,postal_code,price,type_of_property,subtype_of_property,number_of_rooms,living_area,furnished,open_fire,terrace_surface,garden,facades,swimming_pool,land_area,equipped_kitchen,state_of_building,type_of_sale,postal_code_str,province
1316,https://www.immoweb.be/en/classified/manor-house/for-sale/lubbeek/3210/20200802,20200802,Lubbeek,3210,860000.0,HOUSE,MANOR_HOUSE,5,445.0,,0,,8376.0,4.0,0,8376.0,,TO_BE_DONE_UP,FOR_SALE,3210,Vlaams-Brabant
1317,https://www.immoweb.be/en/classified/house/for-sale/lubbeek/3210/20145023,20145023,Lubbeek,3210,355000.0,HOUSE,HOUSE,3,120.0,,0,,,2.0,0,261.0,INSTALLED,JUST_RENOVATED,FOR_SALE,3210,Vlaams-Brabant
1318,https://www.immoweb.be/en/classified/house/for-sale/lubbeek/3210/20219874,20219874,Lubbeek,3210,469500.0,HOUSE,HOUSE,4,186.0,,0,,,4.0,0,830.0,HYPER_EQUIPPED,GOOD,FOR_SALE,3210,Vlaams-Brabant
1319,https://www.immoweb.be/en/classified/house/for-sale/lubbeek/3210/11121212,11121212,Lubbeek,3210,369000.0,HOUSE,HOUSE,4,222.0,,0,0.0,260.0,4.0,0,1286.0,,TO_RENOVATE,FOR_SALE,3210,Vlaams-Brabant
1320,https://www.immoweb.be/en/classified/house/for-sale/kruisem/9770/20247147,20247147,Kruisem,9770,489000.0,HOUSE,HOUSE,4,180.0,,0,1.0,1.0,2.0,1,413.0,INSTALLED,AS_NEW,FOR_SALE,9770,Oost-Vlaanderen
1321,https://www.immoweb.be/en/classified/apartment/for-sale/lubbeek/3210/10979572,10979572,Lubbeek,3210,270000.0,APARTMENT,APARTMENT,3,142.0,,0,0.0,,3.0,0,,INSTALLED,GOOD,FOR_SALE,3210,Vlaams-Brabant
1322,https://www.immoweb.be/en/classified/villa/for-sale/lubbeek/3210/20155225,20155225,Lubbeek,3210,550000.0,HOUSE,VILLA,4,217.0,1.0,0,0.0,,4.0,1,1745.0,,,FOR_SALE,3210,Vlaams-Brabant
1323,https://www.immoweb.be/en/classified/house/for-sale/filot/4181/11364856,11364856,Filot,4181,347500.0,HOUSE,HOUSE,3,,,0,0.0,,4.0,0,901.0,NOT_INSTALLED,,FOR_SALE,4181,Lièg
1324,https://www.immoweb.be/en/classified/penthouse/for-sale/linden/3210/20279357,20279357,Linden,3210,748000.0,APARTMENT,PENTHOUSE,3,116.0,0.0,0,98.0,,0.0,0,,INSTALLED,GOOD,FOR_SALE,3210,Vlaams-Brabant
1325,https://www.immoweb.be/en/classified/villa/for-sale/linden/3210/11191567,11191567,Linden,3210,730000.0,HOUSE,VILLA,6,368.0,,0,50.0,,0.0,0,1325.0,INSTALLED,,FOR_SALE,3210,Vlaams-Brabant
1326,https://www.immoweb.be/en/classified/villa/for-sale/lubbeek/3210/20272090,20272090,Lubbeek,3210,990000.0,HOUSE,VILLA,6,492.0,0.0,0,0.0,,4.0,1,2435.0,,AS_NEW,FOR_SALE,3210,Vlaams-Brabant
1327,https://www.immoweb.be/en/classified/house/for-sale/lubbeek/3210/11467682,11467682,Lubbeek,3210,3000000.0,HOUSE,HOUSE,5,400.0,,1,200.0,6000.0,4.0,1,8000.0,,AS_NEW,FOR_SALE,3210,Vlaams-Brabant
1328,https://www.immoweb.be/en/classified/house/for-sale/lubbeek/3210/20274941,20274941,Lubbeek,3210,195000.0,HOUSE,HOUSE,3,184.0,,0,0.0,,4.0,0,1044.0,,,FOR_SALE,3210,Vlaams-Brabant
