,property_id,postal_code,price,type_of_property,subtype_of_property,number_of_rooms,living_area,furnished,open_fire,terrace_surface,garden,facades,swimming_pool,land_area,equipped_kitchen,state_of_building
17291,20399293,2650,391810,APARTMENT,APARTMENT,2,91.0,0.0,0,12.0,0.0,0.0,0,0.0,UNKNOWN,UNKNOWN
17292,20120484,1730,428000,HOUSE,HOUSE,3,161.0,0.0,0,21.0,0.0,3.0,1,1034.0,HYPER_EQUIPPED,AS_NEW
17293,20402059,1000,300000,APARTMENT,APARTMENT,1,91.0,0.0,0,12.0,0.0,2.0,0,0.0,SEMI_EQUIPPED,GOOD
17294,20321806,9470,509000,HOUSE,HOUSE,4,157.0,0.0,0,21.0,0.0,0.0,0,642.0,HYPER_EQUIPPED,GOOD
17296,20374643,2650,599000,HOUSE,HOUSE,3,147.0,0.0,1,20.0,130.0,3.0,1,300.0,INSTALLED,AS_NEW
17297,20198268,2650,209000,APARTMENT,APARTMENT,2,96.0,0.0,0,3.0,0.0,2.0,0,0.0,INSTALLED,TO_BE_DONE_UP
17298,11193579,2650,234000,APARTMENT,APARTMENT,2,76.0,0.0,1,5.0,0.0,2.0,0,0.0,INSTALLED,GOOD
17299,20401055,9230,427000,HOUSE,HOUSE,3,121.0,0.0,0,12.0,108.0,3.0,0,209.0,INSTALLED,UNKNOWN
17300,20159865,9470,245000,APARTMENT,APARTMENT,2,91.0,0.0,0,2.0,0.0,4.0,1,0.0,INSTALLED,GOOD
17301,20228502,9470,349000,APARTMENT,APARTMENT,3,125.0,0.0,0,15.0,0.0,0.0,1,0.0,INSTALLED,AS_NEW
17303,20322842,9470,399000,HOUSE,HOUSE,4,200.0,0.0,0,25.0,0.0,3.0,1,185.0,UNKNOWN,AS_NEW
17304,20397320,9230,395000,HOUSE,APARTMENT_BLOCK,4,131.0,0.0,0,20.0,0.0,2.0,0,140.0,INSTALLED,UNKNOWN
17305,20305898,9320,320000,HOUSE,HOUSE,3,125.0,0.0,0,15.0,30.0,3.0,1,120.0,HYPER_EQUIPPED,AS_NEW
17306,11284831,2650,249000,APARTMENT,GROUND_FLOOR,3,84.0,0.0,0,12.0,0.0,3.0,0,0.0,SEMI_EQUIPPED,TO_RENOVATE
17307,20324294,2650,348000,APARTMENT,APARTMENT,2,94.0,0.0,0,27.0,60.0,2.0,0,0.0,INSTALLED,JUST_RENOVATED
17308,20234960,9470,375000,HOUSE,HOUSE,5,130.0,0.0,0,20.0,0.0,3.0,1,251.0,INSTALLED,GOOD
17309,20380896,9230,455000,HOUSE,HOUSE,3,146.0,0.0,0,20.0,170.0,3.0,1,422.0,HYPER_EQUIPPED,AS_NEW
17311,20399839,1730,347500,APARTMENT,APARTMENT,2,108.0,0.0,0,8.0,0.0,3.0,0,0.0,UNKNOWN,AS_NEW
