link,property_id,locality_name,postal_code,price,type_of_property,subtype_of_property,living_area,furnished,open_fire,terrace_surface,garden,facades,swimming_pool,land_area,equipped_kitchen,state_of_building,type_of_sale
https://www.immoweb.be/en/classified/apartment/for-sale/herenthout/2270/20182713,20182713,HERENTHOUT,2270,299000,APARTMENT,APARTMENT,93,,0,13,null,3,0,,INSTALLED,,FOR_SALE
https://www.immoweb.be/en/classified/duplex/for-sale/malonne/5020/20175444,20175444,Malonne,5020,325000,APARTMENT,DUPLEX,128,,0,10,1066,2,1,,USA_INSTALLED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/bungalow/for-sale/florennes/5621/20226942,20226942,Florennes,5621,210000,HOUSE,BUNGALOW,,,0,null,1555,4,1,1555,SEMI_EQUIPPED,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/herenthout/2270/20182732,20182732,HERENTHOUT,2270,442000,HOUSE,HOUSE,243,,0,16,null,3,0,215,INSTALLED,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/namur/5020/20164512,20164512,Namur,5020,329000,HOUSE,HOUSE,324,,0,,null,3,0,383,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/country-cottage/for-sale/somme-leuze/5377/20212293,20212293,Somme-Leuze,5377,125000,HOUSE,COUNTRY_COTTAGE,66,,1,16,null,0,0,66,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/herenthout/2270/20182721,20182721,HERENTHOUT,2270,435000,HOUSE,HOUSE,211,,0,16,null,3,0,239,INSTALLED,,FOR_SALE
https://www.immoweb.be/en/classified/duplex/for-sale/anhee/5537/20225466,20225466,Anhée,5537,375000,APARTMENT,DUPLEX,122,,0,85,null,0,0,,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/chalet/for-sale/somme-leuze/5377/20235312,20235312,Somme-Leuze,5377,45000,HOUSE,CHALET,48,0,0,6,1949,4,1,1949,NOT_INSTALLED,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/anhee/5537/20022256,20022256,Anhée,5537,450000,HOUSE,HOUSE,352,0,0,,null,2,1,1399,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/denee/5537/20058384,20058384,DENÉE,5537,145000,HOUSE,HOUSE,166,0,0,null,null,3,1,2377,,,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/boechout/2530/20214171,20214171,Boechout,2530,694000,APARTMENT,APARTMENT,116,,0,null,null,0,0,,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/villa/for-sale/mettet/5640/20080312,20080312,Mettet,5640,165000,HOUSE,VILLA,105,,0,,null,4,0,818,INSTALLED,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/anhee/5537/20231175,20231175,Anhée,5537,185000,APARTMENT,APARTMENT,84,,0,null,null,2,0,,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/namur/5020/20115240,20115240,Namur,5020,329000,HOUSE,HOUSE,190,,1,null,1010,4,1,1010,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/saint-denis/5081/20159797,20159797,SAINT-DENIS,5081,299000,HOUSE,HOUSE,115,,0,22,300,3,0,500,SEMI_EQUIPPED,GOOD,FOR_SALE
