link,property_id,locality_name,postal_code,price,type_of_property,subtype_of_property,living_area,furnished,open_fire,terrace_surface,garden,facades,swimming_pool,land_area,equipped_kitchen,state_of_building,type_of_sale
https://www.immoweb.be/en/classified/house/for-sale/herent/3020/20375599,20375599,Herent,3020,645000,HOUSE,HOUSE,350,,0,null,null,4,1,1767,,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/couillet/6010/20073939,20073939,Couillet,6010,108000,HOUSE,HOUSE,100,0,0,null,60,3,0,150,SEMI_EQUIPPED,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/winksele/3020/20286415,20286415,WINKSELE,3020,650000,HOUSE,HOUSE,295,,0,null,null,2,0,1560,,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/dour/7370/20298175,20298175,Dour,7370,215000,HOUSE,HOUSE,232,,0,76,843,3,0,964,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/villa/for-sale/grobbendonk/2280/20124564,20124564,GROBBENDONK,2280,620000,HOUSE,VILLA,213,,1,23,1500,4,1,1717,,,FOR_SALE
https://www.immoweb.be/en/classified/country-cottage/for-sale/dour/7370/20047178,20047178,Dour,7370,395000,HOUSE,COUNTRY_COTTAGE,383,,0,null,null,4,0,20000,,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/eghezee/5310/20363291,20363291,Eghezée,5310,249000,APARTMENT,APARTMENT,68,,0,10,null,,1,,,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/charleroi/6010/20326192,20326192,Charleroi,6010,195000,HOUSE,HOUSE,,,0,25,null,4,1,200,USA_HYPER_EQUIPPED,JUST_RENOVATED,FOR_SALE
https://www.immoweb.be/en/classified/villa/for-sale/liedekerke/1770/20330815,20330815,Liedekerke,1770,1099000,HOUSE,VILLA,360,,0,null,2315,4,1,2315,HYPER_EQUIPPED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/herent/3020/20243632,20243632,Herent,3020,369000,HOUSE,HOUSE,159,,1,30,120,3,1,335,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/flat-studio/for-sale/herent/3020/11407514,11407514,HERENT,3020,176000,APARTMENT,FLAT_STUDIO,45,,0,null,null,0,0,,SEMI_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/service-flat/for-sale/grobbendonk/2280/20251786,20251786,GROBBENDONK,2280,210000,APARTMENT,SERVICE_FLAT,53,,0,null,null,4,0,,INSTALLED,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/liedekerke/1770/20180907,20180907,Liedekerke,1770,315000,HOUSE,HOUSE,165,0,0,15,222,2,1,324,HYPER_EQUIPPED,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/charleroi/6010/20216634,20216634,Charleroi,6010,338100,APARTMENT,APARTMENT,,,0,45,null,0,1,,USA_INSTALLED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/grobbendonk/2280/20279367,20279367,Grobbendonk,2280,469000,HOUSE,HOUSE,175,,0,1,1,2,1,320,INSTALLED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/fleron/4620/20174663,20174663,Fléron,4620,275000,HOUSE,HOUSE,130,0,0,20,200,2,1,539,NOT_INSTALLED,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/dhuy/5310/20380883,20380883,DHUY,5310,359000,HOUSE,HOUSE,180,,1,null,2214,4,0,2214,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/ground-floor/for-sale/liedekerke/1770/20313853,20313853,Liedekerke,1770,235000,APARTMENT,GROUND_FLOOR,84,0,0,20,null,3,1,,HYPER_EQUIPPED,JUST_RENOVATED,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/izegem/8870/20276532,20276532,Izegem,8870,445000,HOUSE,HOUSE,541,,0,null,null,4,0,550,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/bungalow/for-sale/liedekerke/1770/20348918,20348918,Liedekerke,1770,449000,HOUSE,BUNGALOW,160,0,0,,484,4,1,694,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/grobbendonk/2280/20393039,20393039,Grobbendonk,2280,175000,HOUSE,HOUSE,182,,0,null,null,3,0,440,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/ground-floor/for-sale/fleron/4620/20205052,20205052,FLERON,4620,169000,APARTMENT,GROUND_FLOOR,74,0,0,null,null,3,1,,SEMI_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/ground-floor/for-sale/grobbendonk/2280/20203371,20203371,Grobbendonk,2280,355126,APARTMENT,GROUND_FLOOR,104,0,0,,58,0,0,,HYPER_EQUIPPED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/villa/for-sale/fleron/4620/20129751,20129751,Fléron,4620,750000,HOUSE,VILLA,275,,0,42,888,4,0,1013,INSTALLED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/izegem/8870/20375142,20375142,Izegem,8870,199000,HOUSE,HOUSE,180,,0,null,null,2,0,274,,TO_RESTORE,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/izegem/8870/20354908,20354908,Izegem,8870,345000,HOUSE,HOUSE,478,,0,null,null,4,0,318,,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/grobbendonk/2280/20251789,20251789,Grobbendonk,2280,475000,HOUSE,HOUSE,199,,0,,null,3,0,551,INSTALLED,JUST_RENOVATED,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/fleron/4620/10590648,10590648,Fléron,4620,308500,APARTMENT,APARTMENT,109,,0,6,null,0,0,,,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/herent/3020/20310613,20310613,Herent,3020,625000,HOUSE,HOUSE,210,0,0,50,64,2,1,166,HYPER_EQUIPPED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/villa/for-sale/fleron/4620/20290129,20290129,Fléron,4620,397500,HOUSE,VILLA,170,,0,30,1619,4,0,1760,HYPER_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/service-flat/for-sale/grobbendonk/2280/20251765,20251765,GROBBENDONK,2280,219000,APARTMENT,SERVICE_FLAT,55,,0,null,null,0,0,,,,FOR_SALE
